No,ダム湖名,ダム名,北緯,東経,所在地,河川名
1,富里湖,富里ダム,43.8552777,143.7530555,北海道北見市,仁頃川
2,聖台貯水池,聖台ダム,43.6119444,142.5238888,北海道美瑛町,宇英別川
3,かなやま湖,金山ダム,43.1294444,142.4425,北海道南富良野町,空知川
4,定山湖,豊平峡ダム,42.9155555,141.1536111,北海道札幌市,豊平川
5,笹流貯水池,笹流ダム,41.835,140.7730555,北海道函館市,笹流川
6,かわうち湖,川内ダム,41.2744444,140.8941666,青森県むつ市,川内川
7,岩洞湖,岩洞湖ダム,39.8269444,141.3730555,岩手県盛岡市,丹藤川
8,御所湖,御所ダム,39.6933333,141.0291666,岩手県盛岡市,雫石川
9,田瀬湖,田瀬ダム,39.3430555,141.3186111,岩手県花巻市,猿ヶ石川
10,錦秋湖,湯田ダム,39.3013888,140.885,岩手県西和賀町,和賀川
11,七ッ森湖,南川ダム,38.4344444,140.8213888,宮城県大和町,南川
12,あさひな湖,宮床ダム,38.3869444,140.8222222,宮城県大和町,宮床川
13,釜房湖,釜房ダム,38.2019444,140.6972222,宮城県川崎町,碁石川
14,七ヶ宿湖,七ヶ宿ダム,37.9594444,140.5127777,宮城県七ケ宿町,白石川
15,宝仙湖,玉川ダム,39.8308333,140.6402777,秋田県仙北市,玉川
16,月山湖,寒河江ダム,38.4552777,140.0386111,山形県西川町,寒河江川
17,羽鳥湖,羽鳥ダム,37.2716666,140.0758333,福島県天栄村,鶴沼川
18,田子倉湖,田子倉ダム,37.3105555,139.2869444,福島県只見町,只見川
19,奥只見湖（銀山湖）,奥只見ダム,37.1536111,139.25,福島県檜枝岐村・新潟県魚沼市,只見川
20,奥利根湖,矢木沢ダム,36.9113888,139.0563888,群馬県みなかみ町,利根川
21,ならまた湖,奈良俣ダム,36.8822222,139.0791666,群馬県みなかみ町,楢俣川
22,野反湖,野反ダム,36.7186111,138.6413888,群馬県中之条町,中津川
23,赤谷湖,相俣ダム,36.7125,138.8925,群馬県みなかみ町,赤谷川
24,草木湖,草木ダム,36.5422222,139.3722222,群馬県みどり市,渡良瀬川
25,神流湖,下久保ダム,36.1325,139.0225,群馬県藤岡市・神流町・埼玉県秩父市・神川町,神流川
26,狭山湖,山口ダム,35.7777777,139.4155555,埼玉県所沢市・入間市,柳瀬川
27,多摩湖,村山ダム,35.7638888,139.4402777,東京都東大和市,空堀川
28,奥多摩湖,小河内ダム,35.7894444,139.0505555,東京都奥多摩町,多摩川
29,宮ヶ瀬湖,宮ヶ瀬ダム,35.5419444,139.2488888,神奈川県相模原市・愛川町・清川村,中津川
30,丹沢湖,三保ダム,35.4102777,139.0416666,神奈川県山北町,河内川
31,黒部湖,黒部ダム,36.5663888,137.6619444,富山県立山町,黒部川
32,有峰湖,有峰ダム,36.4894444,137.4486111,富山県富山市,和田川
33,高瀬ダム調整湖,高瀬ダム,36.4747222,137.6908333,長野県大町市,高瀬川
34,奥木曽湖,味噌川ダム,35.9766666,137.7702777,長野県木祖村,木曽川
35,高遠湖,高遠ダム,35.8294444,138.0627777,長野県伊那市,三峰川
36,美和湖,美和ダム,35.8136111,138.0791666,長野県伊那市,三峰川
37,恵那峡,大井ダム,35.4811111,137.3961111,岐阜県恵那市・中津川市,木曽川
38,阿木川湖,阿木川ダム,35.4247222,137.43,岐阜県恵那市,阿木川
39,佐久間湖,佐久間ダム,35.0994444,137.7941666,静岡県浜松市・愛知県豊根村,天竜川
40,三河湖,羽布ダム,35.035,137.3977777,愛知県豊田市,巴川
41,永源寺湖,永源寺ダム,35.0761111,136.335,滋賀県東近江市,愛知川
42,虹の湖,大野ダム,35.2622222,135.4605555,京都府南丹市,由良川
43,天若湖,日吉ダム,35.1477777,135.5175,京都府南丹市,桂川
44,知明湖,一庫ダム,34.905,135.4116666,兵庫県川西市,一庫大路次川
45,布引貯水池,布引五本松ダム,34.7111111,135.19,兵庫県神戸市,生田川
46,池原貯水池,池原ダム,34.0466666,135.9708333,奈良県下北山村,北山川
47,椿山ダム湖,椿山ダム,33.9588888,135.3911111,和歌山県日高川町,日高川
48,神竜湖,帝釈川ダム,34.8277777,133.2347222,広島県神石高原町・広島県庄原市,帝釈川
49,八千代湖,土師ダム,34.6436111,132.6208333,広島県安芸高田市,江の川
50,龍姫湖,温井ダム,34.6341666,132.2994444,広島県安芸太田町,滝山川
51,本庄貯水池,本庄ダム,34.3152777,132.5655555,広島県呉市,二河川
52,弥栄湖,弥栄ダム,34.2333333,132.1625,広島県大竹市・山口県岩国市,小瀬川
53,小野湖,厚東川ダム,34.0716666,131.2830555,山口県宇部市,厚東川
54,満濃池,満濃池ダム,34.1647222,133.8658333,香川県まんのう町,金倉川
55,朝霧湖,野村ダム,33.3588888,132.6288888,愛媛県西予市,肱川
56,さめうら湖,早明浦ダム,33.7569444,133.55,高知県本山町・土佐町,吉野川
57,上秋月湖,江川ダム,33.4597222,130.7336111,福岡県朝倉市,小石原川
58,美奈宜湖,寺内ダム,33.4291666,130.7233333,福岡県朝倉市,佐田川
59,鷹島ダム淡水湖,鷹島ダム,33.4430555,129.7691666,長崎県松浦市,日比水道
60,北川ダム湖,北川ダム,32.7905555,131.6077777,大分県佐伯市,北川
61,日向椎葉湖,上椎葉ダム,32.46,131.1491666,宮崎県椎葉村,耳川
62,大鶴湖,鶴田ダム,31.9886111,130.4938888,鹿児島県さつま町・伊佐市,川内川
63,福上湖,福地ダム,26.6475,128.1744444,沖縄県東村,福地川
64,かんな湖,漢那ダム,26.4822222,127.9494444,沖縄県宜野座村,漢那福地川
65,倉敷湖,倉敷ダム,26.3886111,127.805,沖縄県沖縄市,与那原川
