No,名称,北緯,東経,所在地,竣工年
1,江差追分会館,41.8686111,140.1263888,北海道江差町,1982年
2,札幌芸術の森,42.9419444,141.3422222,北海道札幌市,1993年
3,北海道開拓記念館,43.0530555,141.4963888,北海道札幌市,1970年
4,弘前市立博物館,40.6055555,140.4625,青森県弘前市,1976年
5,ふれあいランド岩手,39.6563888,141.1669444,岩手県盛岡市,1994年
6,一迫町立一迫小学校,38.7422222,140.9519444,宮城県栗原市,1994年
7,七ヶ浜国際村,38.2983333,141.0672222,宮城県七ケ浜町,1993年
8,仙台市科学館,38.2986111,140.8830555,宮城県仙台市,1990年
9,宮城県美術館,38.2638888,140.855,宮城県仙台市,本館1981年/記念館1990
10,秋田市立中央図書館明徳館,39.7197222,140.1233333,秋田県秋田市,1983年
11,角館郵便局,39.5933333,140.5627777,秋田県仙北市,1992年
12,出羽遊心館,38.8941666,139.8161111,山形県酒田市,1994年
13,遊学館,38.2552777,140.3444444,山形県山形市,1988年
14,郡山市立美術館,37.3925,140.4197222,福島県郡山市,1992年
15,福島県立美術館・図書館,37.7680555,140.4572222,福島県福島市,1984年
16,水戸芸術館,36.3802777,140.4652777,茨城県水戸市,1990年
17,ミュージアムパーク茨城県自然博物館,36.0055555,139.9161111,茨城県坂東市,1994年
18,佐野市郷土博物館,36.3127777,139.565,栃木県佐野市,1983年
19,群馬音楽センター,36.3233333,139.0036111,群馬県高崎市,1961年
20,群馬県立近代美術館,36.2986111,139.0783333,群馬県高崎市,1974年
21,埼玉県立博物館,35.9211111,139.63,埼玉県さいたま市,1971年
22,千葉県文化会館,35.6044444,140.1230555,千葉県千葉市,1967年
23,千葉市美術館・中央区役所,35.6088888,140.1247222,千葉県千葉市,1994年
24,日本コンベンションセンター（幕張メッセ）,35.6469444,140.0344444,千葉県千葉市,1989年
25,NTT日比谷ビル,35.6713888,139.7572222,東京都千代田区,1961年
26,国立劇場,35.6813888,139.7433333,東京都千代田区,1966年
27,最高裁判所,35.6802777,139.7436111,東京都千代田区,1974年
28,国立西洋美術館本館,35.7152777,139.7755555,東京都台東区,1959年
29,東京文化会館,35.7141666,139.775,東京都台東区,1961年
30,国立代々木競技場,35.6669444,139.6991666,東京都渋谷区,1964年
31,世田谷区立世田谷美術館,35.6316666,139.6219444,東京都世田谷区,1985年
32,東京都庁舎,35.6897222,139.6916666,東京都新宿区,1991年
33,神奈川県立音楽堂,35.4527777,139.6261111,神奈川県横浜市,1954年
34,横浜人形の家,35.4430555,139.6522222,神奈川県横浜市,1986年
35,真鶴町立中川一政美術館,35.1441666,139.1516666,神奈川県真鶴町,1988年
