No,名称,北緯,東経,所在地,備考
1,常磐公園,43.775,142.3572222,北海道旭川市,
2,北海道子どもの国,43.5213888,141.9383333,北海道砂川市,
3,大通公園,43.0594444,141.3447222,北海道札幌市中央区,
4,中島公園,43.0447222,141.3544444,北海道札幌市中央区,
5,鷹揚公園（弘前公園）,40.6083333,140.4652777,青森県弘前市,日本の歴史公園百選選定
6,合浦公園,40.8308333,140.7791666,青森県青森市,日本の歴史公園百選選定
7,岩手公園,39.7005555,141.1519444,岩手県盛岡市,日本の歴史公園百選選定
8,高田松原公園,39.0055555,141.635,岩手県陸前高田市,日本の歴史公園百選選定
9,松島公園,38.3697222,141.0641666,宮城県松島町、塩籠町、七ヶ浜町、利府町,
10,榴岡公園,38.2605555,140.8961111,宮城県仙台市宮城野区,
11,千秋公園,39.7225,140.1241666,秋田県秋田市,日本の歴史公園百選選定
12,霞城公園,38.2555555,140.3280555,山形県山形市,日本の歴史公園百選選定
13,日和山公園,38.9191666,139.8277777,山形県酒田市,
14,翠ヶ丘公園,37.2908333,140.3816666,福島県須賀川市,
15,偕楽園,36.375,140.4530555,茨城県水戸市,日本の歴史公園百選選定
16,長峰公園,36.8113888,139.9375,栃木県矢板市,
17,栃木県井頭公園,36.4961111,139.9955555,栃木県真岡市,
18,華蔵寺公園,36.3422222,139.1977777,群馬県伊勢崎市,
19,敷島公園,36.4163888,139.0516666,群馬県前橋市,
20,大宮公園,35.9180555,139.6316666,埼玉県さいたま市大宮区,
21,国営武蔵丘森林公園,36.0913888,139.3716666,埼玉県滑川町,
22,さきたま古墳公園,36.1263888,139.4780555,埼玉県行田市,
23,川口グリーンセンター,35.8455555,139.7275,埼玉県川口市,
24,昭和の森,35.5177777,140.2797222,千葉県千葉市緑区,
25,富津公園,35.3116666,139.7983333,千葉県富津市,
26,音無親水公園,35.7527777,139.7363888,東京都北区,
27,東京都立日比谷公園,35.6738888,139.7561111,東京都千代田区,日本の歴史公園百選選定
28,東京都立上野恩賜公園,35.7166666,139.7741666,東京都台東区,日本の歴史公園百選選定
29,東京都立水元公園,35.7805555,139.8733333,東京都葛飾区,
30,代々木公園,35.6697222,139.6955555,東京都渋谷区,
31,国営昭和記念公園,35.7111111,139.3947222,東京都立川市、昭島市,
32,東高根森林公園,35.6047222,139.5866666,神奈川県川崎市宮前区,
33,山下公園,35.4461111,139.6494444,神奈川県横浜市中区,
34,港の見える丘公園,35.4408333,139.6538888,神奈川県横浜市中区,
35,三笠公園,35.2861111,139.6736111,神奈川県横須賀市,日本の歴史公園百選選定
36,秦野中央運動公園,35.3802777,139.2022222,神奈川県秦野市,
37,七沢森林公園,35.4480555,139.3011111,神奈川県厚木市,
38,五十公野公園,37.9380555,139.3552777,新潟県新発田市,
39,白山公園,37.915,139.0386111,新潟県新潟市,
40,悠久山公園,37.4291666,138.8838888,新潟県長岡市,
41,県民公園太閤山ランド,36.6925,137.1036111,富山県射水市,
42,高岡古城公園,36.7491666,137.0225,富山県高岡市,日本の歴史公園百選選定
43,兼六園,36.5619444,136.6619444,石川県金沢市,日本の歴史公園百選選定
44,越前陶芸公園,35.9347222,136.0591666,福井県越前町,
45,山梨県小瀬スポーツ公園,35.6230555,138.5875,山梨県甲府市,
46,鳥居平やまびこ公園,36.0686111,138.0311111,長野県岡谷市,
47,中央公園,36.2377777,137.9691666,長野県松本市,
48,国営木曽三川公園,35.1475,136.6669444,岐阜県海津市,
49,城山公園,36.1358333,137.2630555,岐阜県高山市,日本の歴史公園百選選定
50,姫の沢公園,35.1191666,139.0497222,静岡県熱海市,
51,城北公園,34.9894444,138.3786111,静岡県静岡市,
52,舘山寺総合公園,34.7647222,137.6308333,静岡県浜松市,
53,岡崎公園,34.9569444,137.1608333,愛知県岡崎市,日本の歴史公園百選選定
54,東山公園,35.1558333,136.9805555,愛知県名古屋市,
55,大高緑地,35.0638888,136.9547222,愛知県名古屋市,
56,名城公園,35.1888888,136.9011111,愛知県名古屋市,日本の歴史公園百選選定
57,落合公園,35.2711111,136.9902777,愛知県春日井市,
58,中部台運動公園,34.5455555,136.5058333,三重県松阪市,
59,金亀公園,35.2788888,136.2533333,滋賀県彦根市,日本の歴史公園百選選定
60,湖岸緑地,35.3772222,136.2625,滋賀県大津市ほか,
61,円山公園,35.0036111,135.7830555,京都府京都市,
62,宝ヶ池公園,35.0577777,135.7830555,京都府京都市,
63,京都府立立山総合運動公園,34.8711111,135.8047222,京都府宇治市,
64,大阪城公園,34.6858333,135.5316666,大阪府大阪市,日本の歴史公園百選選定
65,中之島公園,34.6916666,135.5102777,大阪府大阪市,
66,服部緑地,34.7766666,135.4877777,大阪府豊中市,
67,五月山緑地,34.8316666,135.4308333,大阪府池田市,
68,大仙公園,34.5586111,135.4822222,大阪府堺市,日本の歴史公園百選選定
69,中央公園,34.4691666,135.3936111,大阪府岸和田市,
70,兵庫県立甲山森林公園,34.7738888,135.3344444,兵庫県西宮市,
71,神戸市立須磨離宮公園,34.6530555,135.1169444,兵庫県神戸市,
72,兵庫県立明石公園,34.6527777,134.9919444,兵庫県明石市,日本の歴史公園百選選定
73,奈良公園,34.6822222,135.8469444,奈良県奈良市,
74,平草原公園,33.6697222,135.3502777,和歌山県白浜町,
75,打吹公園,35.4297222,133.8236111,鳥取県倉吉市,
76,県立浜山公園,35.3775,132.7072222,島根県出雲市,
77,後楽園,34.6672222,133.935,岡山県岡山市,日本の歴史公園百選選定
78,平和記念公園,34.3936111,132.4522222,広島県広島市,日本の歴史公園百選選定
